N�;Localite;Longitude;Latitude;Prof_Tle;Debit
158;MAMPOATE MOBA;"00°02'2""E";"11°01'2""";61,3;13,2
159;SAFOBE;"00°07'5""E";"11°02'5""";73,48;8,4
160;SAFOBE;"00°07'2""E";"11°02'5""";55,08;2,2
161;KONDJORE  I;"00°04'2""E";"11°04'4""";48,98;7,07
162;TIMBOU;"00°08'0""E";"10°59'1""";45,03;1,15
163;LONLONGOU;"00°08'4""E";"11°01'3""";52,31;19,8
164;KALAGOU;"00°07'5""E";"11°03'5""";42,37;14,85
165;GOULOUNGOUSSI;"00°07'0""W";"11°07'2""";55,02;2,32
166;BABIGOU;"00°11'0""E";"11°02'5""";54,11;1,8
167;BABIGOU;"00°12'2""E";"11°03'4""";61,41;18,36
168;NANSONGUE;"00°12'1""E";"11°00'2""";55,11;1,4
169;SAFOBE II;"00°07'4""E";"11°03'0""";73,52;0,747
170;SOUKOUDOUME;"00°08'0""E";"11°01'3""";60,83;1,36
171;FANWORGOU;"00°10'5""E";"11°01'4""";61,32;5,6
172;YOAKPATE;"00°03'0""E";"11°02'5""";61,33;9
173;TABI;"00°03'1""E";"11°05'2""";61,32;0,825
174;NAMOUDJOATE;"00°09'3""E";"11°01'3""";55,19;13
175;TABI;"00°04'5""E";"11°05'3""";53,4;6,48
176;NAMOUDJOATE;"00°10'2""E";"11°01'1""";;
177;LIYATIALOU;"00°06'0""E";"11°00'0""";;
178;SAFOBE;"00°07'3""E";"11°02'4""";37;4,3
179;BABIGOU;"00°11'5""E";"11°03'1""";43,17;0,8
180;KOKNOGO;"00°06'1""E";"11°07'0""";65,77;0,8
181;KASSOU;"00°02'4""W";"11°06'1""";48,97;2,7
182;KODINZOAGA;"00°05'4""W";"11°07'3""";64,1;2,25
183;TINTODIGUINE  II;"00°10'3""E";"11°04'0""";52;4,5
184;KALAO;"00°05'1""E";"11°00'4""";40;2,9
185;SILMISSI;"00°01'4""E";"11°06'1""";48,89;16,7
186;TANTCHIGO;"00°01'1""E";"11°04'2""";53;1,1
187;KODAGO;"00°02'2""E";"11°06'1""";43;3,3
188;YIEGO;"00°02'0""E";"11°06'0""";55,25;5,2
189;SEGNABIN;"00°00'1""E";"11°06'2""";49,42;8,1
190;HORIWOURI;"00°02'1""W";"11°06'5""";43,06;4,3
191;SAFOBE;"00°07'3""E";"11°02'3""";;
192;KARBIEGA I;"00°03'2""E";"11°04'2""";41,55;1,6
193;NATONE;"00°11'5""E";"10°55'3""";39,84;21
194;KPONGUEDJORE;"00°04'1""E";"11°04'2""";72,45;0,757
195;KANGETCHOAKE;"00°03'2""E";"11°02'0""";61,4;0,9
196;GARO;"00°03'4""E";"11°02'3""";39,86;16
197;TONGA;"00°03'1""E";"11°00'4""";39,52;6,2
198;NADJOUNDI CENTRE;"00°11'1""E";"10°59'5""";40;7,1
199;BOADE CENTRE;"00°04'3""W";"11°07'1""";39,84;1,8
200;GANGA  II;"00°04'2""W";"11°05'4""";39,85;1,8
201;GOULOUNGOUSSI;"00°06'5""W";"11°06'4""";39,91;12
202;WANRE;"00°06'0""W";"11°06'4""";42,01;2,4
203;KOUADGANGBANGOU;"00°12'1""E";"11°03'2""";42,97;2,7
204;NATONE;"00°11'3""E";"10°59'3""";43,21;1,378
205;TAMONDJORE;"00°09'1""E";"10°59'2""";85,72;0,952
206;YOAKPATE;"00°03'2""E";"11°02'3""";64,85;0,7
207;YOAKPATE;"00°03'0""E";"11°02'3""";50;12
208;HORIWOURI;"00°02'0""W";"11°07'0""";49,9;2,9
209;KASSOU;"00°02'5""W";"11°06'2""";44,82;1,5
210;BOADE CENTRE;"00°04'0""W";"11°05'2""";44,96;0,9
211;ZOUMBEKO;"00°07'4""W";"11°06'5""";49,9;1,3
212;KOKNOGO;"00°06'2""W";"11°07'0""";49,84;1,2
213;KOULTAMSSE;"00°07'5""W";"11°07'5""";54,78;0,9
214;NANSONGUE;"00°12'1""E";"11°00'1""";49,86;3,18
215;SAM-NABA;"00°10'0""E";"11°04'0""";49,98;0,8
216;SAM-NABA;"00°09'2""E";"11°03'4""";79,09;0,9
217;SAM-NABA;"00°09'2""E";"11°03'4""";89,85;0
218;TIMBOU;"00°06'3""E";"10°59'4""";54,8;10,876
219;TABI;"00°05'0""E";"11°05'1""";49,2;18
220;KONDJORE  I;"00°04'0""E";"11°04'5""";59,75;15
221;GARO;"00°11'5""E";"10°53'1""";69,89;0
222;NANLONGUE I;"00°10'0""E";"11°00'3""";85,07;
223;FANWORGOU;"00°11'0""E";"11°01'4""";;
224;PISSOSGO;"00°00'3""E";"11°05'2""";56,26;9,25
225;BOADE CENTRE;"00°04'3""W";"11°06'3""";79,5;
226;NADJOUNDI CENTRE;"00°12'4""E";"11°01'2""";64,8;
227;TAMBATE;"00°37'3""E";"10°53'5""";;
228;BATEBOGOU;"00°21'0""E";"10°43'0""";39,5;0,63
229;DJAMBENGOU;"00°21'3""E";"10°43'1""";81,05;0,85
230;KANKANGOU II;"00°23'0""E";"10°40'1""";45,95;4
231;BAMBORE;"00°39'2""E";"10°55'4""";77,93;1,6
232;ZONGO-LIMAM;"00°34'2""E";"10°45'2""";35,1;4
233;BOMBENGOU;"00°31'0""E";"10°44'4""";87;7,6
234;BOMBENGOU;"00°31'3""E";"10°44'4""";41,1;12
235;KPAPORGA;"00°33'2""E";"10°44'4""";41,1;4
236;NATCHOUNTCHALE;"00°24'5""E";"10°51'3""";44;12
237;TAMBATE;"00°30'3""E";"10°56'2""";35;1,5
238;NAYEGA;"00°24'4""E";"10°44'0""";30;6
239;NAYEGA;"00°25'4""E";"10°44'2""";41,1;3,5
240;OGARO;"00°27'2""E";"10°44'3""";81,15;2
241;NAKPATANGOU;"00°24'3""E";"10°46'0""";57,45;0,9
242;TAMONDJOARE;"00°22'3""E";"10°42'5""";29;1,5
243;TANTANTCHAL;"00°26'0""E";"10°52'2""";30,75;7,5
244;KOMPIT-BONG;"00°22'5""E";"10°56'2""";63;1,2
245;TOLONKARGA  II;"00°26'2""E";"10°57'1""";;
246;PAPRI - CENTRE;"00°25'1""E";"10°59'5""";;9
247;ZONGO I;"00°25'2""E";"10°59'3""";;9
248;SOG-BOGOU;"00°24'5""E";"10°52'2""";50;0,8
249;NAMOUNDJOGA;"00°23'2""E";"10°53'4""";43;9
250;KPEMBONLE;"00°24'1""E";"10°57'3""";51,15;0,9
251;NADJOUOT;"00°21'5""E";"10°53'5""";39,3;4,5
252;NABATIGA;"00°24'2""E";"10°54'1""";30;3,7
253;NAMBONGA;"00°23'3""E";"10°42'0""";;
254;FOBENGA;"00°21'4""E";"10°46'1""";58,95;0,967
255;DOLINGOU;"00°24'2""E";"10°47'1""";150,2;0,8
256;BONTOGBANGBANGOU;"00°29'4""E";"10°43'4""";60;0,9
257;DJABDJOARE;"00°37'3""E";"10°56'3""";52,6;10
258;DJABDJOARE;"00°37'1""E";"10°56'4""";42,6;7,5
259;KPENKANKANDI;"00°38'0""E";"10°59'3""";37,6;3
260;SANKORTCHAGOU;"00°36'5""E";"10°59'0""";31,7;3
261;TAMBIMA;"00°36'2""E";"10°57'5""";34,6;6
262;DJIBONLE;"00°33'5""E";"10°46'1""";31,5;9
263;DJABONLI;"00°28'0""E";"10°40'5""";50;6
264;NAKPATCHALE;"00°28'2""E";"10°40'4""";;
265;TANTAMBAGOU;"00°25'4""E";"10°53'1""";30;4,5
266;DJIMOMBEDE;"00°28'3""E";"10°40'2""";;
267;BOULDJOARE;"00°40'3""E";"10°50'0""";83;1,2
268;TAMBATE;"00°38'2""E";"10°56'4""";41;9
269;NAMBONGA;"00°23'2""E";"10°40'0""";73,65;0,9
270;NATCHAMBONGA;"00°38'2""E";"10°50'0""";;
271;SAWAGA;"00°24'1""E";"10°44'1""";67;1,2
272;MARGBAL;"00°34'4""E";"10°45'5""";55;7,5
273;NAYEGA;"00°24'2""E";"10°44'1""";68;1,1
274;NAMBONGA;"00°24'3""E";"10°39'5""";67;3,56
275;TITIAGOU;"00°21'3""E";"10°41'2""";;
276;KPATCHAL;"00°22'3""E";"10°49'4""";67;1,26
277;BONLOARE;"00°28'0""E";"10°42'1""";31;2,38
278;OKONTCHIOK;"00°30'2""E";"10°58'3""";52;8,2
279;ZONGO;"00°30'2""E";"10°58'2""";;
280;KPENDJAGA;"00°27'3""E";"10°43'0""";;
281;DJOAMON;"00°26'4""E";"10°42'0""";73;0,76
282;GALE;"00°23'0""E";"10°50'0""";;
283;SOGOU;"00°22'4""E";"10°46'0""";122,51;0,52
284;TCHAWALGOU;"00°26'2""E";"10°54'4""";37,88;22
285;DJIYEGA;"00°36'0""E";"10°50'2""";;
286;BOULBENLI;"00°26'3""E";"10°47'2""";83,75;3,026
287;POGNO;"00°30'1""E";"10°58'2""";60,49;0,9
288;DJAMOTIGA;"00°23'5""E";"10°42'3""";42,14;0,75
289;NAPAGOU;"00°30'5""E";"10°46'5""";24,03;2,5
290;KANKANGOU  I;"00°21'5""E";"10°40'2""";67,74;3,78
291;TAMOUNTCHAL;"00°22'5""E";"10°42'5""";55,12;0,8
