N�;Localite;Longitude;Latitude;Prof_Tle;Debit
834;KPOKOU;"00°42'0""E";"10°30'1""";;
835;GBEMGBAMONGUE;"00°41'2""E";"10°32'3""";;
836;KOROKOU;"00°47'1""E";"10°38'0""";60;0,5
837;KOUTOUCH;"00°45'4""E";"10°21'2""";;
838;DJOUNLE-TCHAMONGA;"00°44'5""E";"10°25'1""";60;
839;TCHAKPANLE;"00°44'5""E";"10°17'1""";56;0,8
840;FANCOURI;"00°49'1""E";"10°17'5""";;
841;KOUNADAGOU;"00°46'2""E";"10°16'5""";;
842;DILEKA;"00°36'5""E";"10°14'5""";;
843;KOROKOU;"00°47'0""E";"10°33'5""";;
844;BOTCHAKOU;"00°43'2""E";"10°35'0""";;
845;TONTONDI;"00°33'4""E";"10°28'2""";61,1;1
846;DJE-DJABOU;"00°44'0""E";"10°19'1""";35,55;4,5
847;GBEMBA BAS;"00°31'0""E";"10°31'4""";;
848;SADORI-NAGBAKOU;"00°27'0""E";"10°17'2""";;
849;MANTCHE;"00°20'2""E";"10°20'3""";;
850;BOUMBOUMIGOU;"00°12'0""E";"10°30'4""";;
851;PIEBOAKA;"00°16'4""E";"10°32'5""";73,54;0,3
852;BANDJA-TOMONGUE;"00°13'0""E";"10°31'5""";48,87;16
853;KEREKETE  II;"00°13'5""E";"10°30'0""";42,82;14
854;TCHANFIERI;"00°26'5""E";"10°24'4""";73,33;0,75
855;SIGBENGA;"00°38'5""E";"10°16'4""";;
856;SAGBIEBOU;"00°37'5""E";"10°14'0""";;
857;TCHINTCHONGA;"00°35'4""E";"10°22'3""";;
858;TATABONI;"00°39'0""E";"10°22'1""";49;2
859;NATOUNDI;"00°38'1""E";"10°26'2""";85,5;0,8
860;KONG;"00°20'5""E";"10°36'1""";4,48;1,4
861;ITOGNAN;"00°46'3""E";"10°15'0""";;
862;NAGNAGA;"00°46'2""E";"10°18'2""";;
863;KOUMONGOUKAN;"00°24'0""E";"10°14'3""";;
864;SIGBENGA;"00°38'1""E";"10°14'5""";39,72;1,8
865;SAGBIEBOU;"00°39'1""E";"10°14'3""";36,7;1,5
866;MAGNA;"00°26'0""E";"10°21'2""";85,65;0
867;TOUMONLOGOU;"00°20'4""E";"10°35'1""";79,66;0
868;TCHARBENGOU;"00°21'1""E";"10°36'4""";71,95;0,55
869;KPAGNOH;"00°28'2""E";"10°34'3""";53,95;3,15
870;TAMONGA;"00°22'3""E";"10°34'5""";45,5;1
871;KOUSSIGOU;"00°36'1""E";"10°25'4""";92,85;0,32
872;KOUSSIGOU;"00°36'5""E";"10°25'2""";62,85;4,89
873;AYABA  B;"00°41'1""E";"10°22'4""";;
874;BARKOISSI;"00°18'0""E";"10°32'5""";67;1,5
875;TAMONGA;"00°22'5""E";"10°35'2""";90,25;0,38
876;KPAKPABOU;"00°27'5""E";"09°59'5""";;
877;NASSOUKOU;"00°25'2""E";"10°04'1""";;
878;KOUGNIERI;"00°37'5""E";"10°22'0""";;
879;NANTIEGA;"00°40'2""E";"10°26'4""";;
880;SAGBIEBOU;"00°38'1""E";"10°14'2""";;
881;NAKITONI;"00°40'5""E";"10°26'0""";;
882;SAGBIEBOU;"00°38'2""E";"10°14'3""";;
883;TAKPAPIENI;"00°52'0""E";"10°15'2""";;
884;SAMTI;"00°33'5""E";"10°01'1""";;
885;CHIRANDA;"00°36'0""E";"10°04'5""";;
886;NKPE 1;"00°37'3""E";"09°57'4""";;
887;BOUDORI;"00°27'1""E";"10°26'4""";;
888;NAGBANGOU;"00°22'3""E";"10°06'3""";;
889;KADJITIERI  I;"00°23'1""E";"10°32'3""";;
890;SAGBIEBOU;"00°39'5""E";"10°17'2""";;
891;KAMPOAT;"00°21'1""E";"10°35'2""";112,23;0,1
892;TAMONGA;"00°22'0""E";"10°35'2""";53,81;1,06
893;NAMOUBAGA I;"00°22'0""E";"10°38'3""";54,07;17,28
894;KAMPOAT;"00°21'1""E";"10°35'1""";125,73;4,8
895;POLOTI;"00°19'5""E";"10°31'4""";94,36;1,8
896;SAMBONA;"00°16'3""E";"10°33'3""";139,36;0,771
897;N'GAMBI;"00°46'4""E";"10°13'1""";58,56;14,4
898;TONTONDI;"00°33'3""E";"10°28'4""";90,11;1,4
899;BATCHE-BOUSSOU;"00°35'4""E";"10°06'5""";67,29;12,96
900;TOKOU;"00°31'4""E";"10°08'4""";44,95;10,8
901;NALONGBANDI;"00°29'0""E";"10°11'0""";157,41;
902;LIPOULIKE;"00°39'4""E";"10°32'1""";157,35;0,428
903;NANTCHARE;"00°23'0""E";"10°11'1""";89,93;0
904;FARE-CENTRE;"00°23'3""E";"10°10'5""";49,36;1,7
905;PAYOKOU;"00°27'2""E";"10°14'5""";40,43;4,62
906;TAKPAMBA;"00°34'2""E";"09°58'1""";49,53;12,96
907;NALONGBANDI;"00°29'0""E";"10°11'0""";103,59;0
908;SAGBIEBOU;"00°38'4""E";"10°14'5""";42,6;3,6
909;KOUMONGOU;"00°26'5""E";"10°11'0""";85,41;2,117
910;LIPOULIKE;"00°41'2""E";"10°32'3""";44,91;2
911;DJE-DJABOU;"00°42'4""E";"10°18'1""";55,43;21,6
912;BAOULE;"00°34'3""E";"10°15'3""";;
913;NAKITONI;"00°40'4""E";"10°26'0""";;
914;KPAYO;"00°45'5""E";"10°13'4""";;
915;GALANGASHIE;"00°21'3""E";"10°30'1""";55,37;10,8
916;KOUSSIGOU;"00°36'3""E";"10°26'1""";55,44;1,35
917;KOUGNIERI;"00°37'4""E";"10°21'2""";49,16;21,6
918;MOGOU;"00°38'4""E";"10°22'5""";55,44;32,4
919;KOLDAGA;"00°44'3""E";"10°26'4""";55,38;21,6
920;TOKPLI;"00°41'4""E";"10°25'1""";55,35;0,679
921;QUARTIER ADMINISTRATIF;"00°28'1""E";"10°31'3""";122,47;0,1
922;DANKOUR;"00°20'0""E";"10°37'0""";49,25;0,62
923;KPAMBONE;"00°20'4""E";"10°37'1""";55,26;21,6
924;BOASSE;"00°19'4""E";"10°37'3""";55,23;0,507
925;TAMONGA;"00°21'5""E";"10°35'0""";110,3;
926;KANKANGOU;"00°22'0""E";"10°39'5""";67,6;1
927;TCHAMIGNOTI;"00°31'2""E";"10°38'3""";104,18;0,923
928;KPEBONGA;"00°20'5""E";"10°37'3""";85,85;3,81
929;NAMBOESSOU;"00°18'3""E";"10°27'1""";73,61;0,553
930;KPANDJINI;"00°19'3""E";"10°32'0""";122,35;
931;GALANGASHIE;"00°21'3""E";"10°30'1""";55,37;10,8
932;SAGBIEBOU;"00°36'4""E";"10°15'0""";49,28;16,2
933;SAGBIEBOU;"00°37'0""E";"10°14'0""";49,3;21,6
934;SAGBIEBOU;"00°39'4""E";"10°16'2""";55,37;6,4
935;SAGBIEBOU;"00°36'2""E";"10°14'0""";67,67;2,16
936;SAGBIEBOU;"00°36'4""E";"10°17'1""";49,3;7,2
937;NAMONI;"00°41'2""E";"10°21'1""";61,47;6,48
938;N'GAMBI;"00°48'3""E";"10°13'1""";55,26;16,2
939;SAPIEKOU;"00°41'5""E";"10°20'4""";79,77;9,257
940;KPEGUINI;"00°41'1""E";"10°19'3""";115;1
941;YAKLE;"00°49'0""E";"10°16'5""";61,43;9,257
942;DJE-DJABOU;"00°43'2""E";"10°18'5""";61,39;8,1
943;KOUNTOIRE-CENTRE;"00°39'2""E";"10°07'1""";73,56;10,8
944;SAGBIEKPERE;"00°36'1""E";"10°06'3""";67,56;16,2
945;KOUMONGOU;"00°26'5""E";"10°10'4""";98,12;0,216
946;KPATIBOLI;"00°30'4""E";"10°10'3""";55,38;32,4
947;KPANKPASOU;"00°27'3""E";"10°03'0""";104,17;
948;MALONDI;"00°32'4""E";"10°02'4""";49,28;7,2
949;NALOKOU;"00°30'4""E";"10°04'5""";58;30
950;NAGBANGOU;"00°29'0""E";"09°59'5""";100;
951;DJRIDJO;"00°32'4""E";"10°02'0""";61,51;9,257
952;TCHANAGA;"00°29'2""E";"10°29'4""";91,89;
953;GBEMBA HAUT;"00°29'4""E";"10°32'4""";122,46;
954;GBEMBA HAUT;"00°29'5""E";"10°33'1""";;
955;DAKPALI CENTRE;"00°39'4""E";"10°32'1""";55,32;0,631
956;TCHAMONGA;"00°43'5""E";"10°34'0""";61,52;30
957;KOROKOU;"00°47'4""E";"10°35'1""";49,2;2,4
958;NADENGOU;"00°43'0""E";"10°30'2""";49,28;2,16
959;TCHAMONGA;"00°43'5""E";"10°33'4""";;
960;POUKPIELOKO;"00°17'1""E";"10°34'0""";122,56;0,108
961;SAMBONA;"00°16'3""E";"10°33'3""";107,22;4
962;MAGNA MOMOTI;"00°24'5""E";"10°22'0""";256,73;0,423
963;GBETI;"00°35'2""E";"10°25'4""";61,47;2,2
964;DJANHALE;"00°39'2""E";"10°25'4""";70,4;6
965;NAKPAGDJOAGA;"00°43'2""E";"10°27'3""";67,58;3,6
966;NASSIKOU;"00°43'4""E";"10°13'0""";67,6;
967;NAGBANGOU;"00°29'0""E";"09°59'4""";;
968;KADJITIERI  I;"00°22'4""E";"10°33'3""";;
969;YINYINGOU;"00°33'0""E";"10°32'2""";92;0,8
970;DOMAN;"00°20'3""E";"10°31'1""";85,78;
971;NAMONI;"00°44'5""E";"10°19'3""";61,38;19,5
972;KPENTCHANI;"00°38'3""E";"10°26'1""";61,26;1,4
973;KPEBONGA;"00°22'0""E";"10°38'1""";61,34;4,9
974;TAKPAMBA;"00°34'5""E";"09°58'3""";103,34;1
975;MOGOU;"00°39'0""E";"10°22'5""";55,15;9
976;KAMPOAT;"00°21'2""E";"10°33'5""";;
977;GALANGASHIE;"00°21'4""E";"10°31'1""";55,23;9,9
978;SAGBIEBOU;"00°39'1""E";"10°15'3""";55,13;2,2
979;TAKPAMBA;"00°35'0""E";"09°58'3""";104,03;
980;YAKLE;"00°48'3""E";"10°16'5""";55,2;9
981;YAKLE;"00°49'1""E";"10°14'0""";49,12;23
982;NANDJONKARGOU;"00°46'1""E";"10°19'2""";49,09;5,6
983;SAMTI-BONFOSSOU;"00°33'3""E";"10°02'3""";91,78;4,95
984;NATEMBAGA;"00°42'3""E";"10°31'2""";55,15;9
985;NALOBA;"00°34'0""E";"10°03'3""";55,2;8,8
986;NAMBOSSI;"00°39'0""E";"09°54'2""";55,18;8,2
987;SAGBIEBOU;"00°39'1""E";"10°15'3""";97,89;0,694
988;NAMOUKOU;"00°34'2""E";"09°54'4""";79,54;1,3
989;NADAGA;"00°41'3""E";"10°20'0""";55,21;15
990;KPAGNOH;"00°28'4""E";"10°34'2""";;
991;KPANDJINI;"00°19'3""E";"10°32'1""";85,74;2,4
992;SAPIEKOU;"00°41'4""E";"10°20'0""";67,4;2,8
993;TAKPAMBA;"00°34'2""E";"10°00'1""";67,4;24
994;NAMKPANA;"00°49'1""E";"10°12'5""";48,99;19
995;GAYARGOU;"00°27'0""E";"10°36'2""";73,45;0,347
996;GALANGASHIE FOMBORO;"00°21'0""E";"10°30'2""";;
997;AKPOSSOU;"00°25'3""E";"10°25'0""";;
998;MOGOU;"00°38'2""E";"10°23'0""";;
999;NAMBOESSOU;"00°18'4""E";"10°26'0""";49,17;2,234
1000;TAKPAPIENI;"00°52'0""E";"10°15'1""";49,35;10,8
1001;FANCOURI;"00°09'0""E";"10°42'5""";49,4;4,05
1002;MOGOU;"00°38'4""E";"10°22'5""";;8
1003;NALI CENTRE HANGO;"00°27'0""E";"10°02'5""";122,58;3,6
1004;KOUMONGOU;"00°26'4""E";"10°10'4""";102,37;1
1005;BAOULE;"00°34'4""E";"10°15'4""";79,84;1,7
1006;MANTCHE;"00°20'2""E";"10°20'3""";122,58;0,7
1007;KOLK I;"00°18'4""E";"10°37'2""";50,15;0,9
1008;BIELIGUE;"00°18'3""E";"10°39'5""";68,15;12
1009;BARKOISSI;"00°18'3""E";"10°34'1""";;
1010;MANTCHE;"00°35'2""E";"10°34'2""";55,18;4,5
1011;TCHANKPE-BOSSOU;"00°37'0""E";"10°02'5""";43,98;28,03
1012;DANHAKA;"00°40'4""E";"10°04'4""";48,98;2,08
1013;AYIKPERE;"00°37'2""E";"10°05'1""";58,74;20,6
1014;NABOLI;"00°36'1""E";"10°09'5""";48,99;4,8
1015;KOUNTOIRE-CENTRE;"00°37'3""E";"10°06'4""";51,35;13,5
1016;GBANGBAMONA;"00°23'2""E";"10°35'3""";40;1,4
1017;FIENGA;"00°38'5""E";"10°01'3""";42,18;12
1018;WANGBANDI;"00°25'2""E";"10°07'3""";98,15;0,6
1019;NAMOUKOU;"00°34'0""E";"09°54'4""";49,45;1,2
1020;DAKPALI CENTRE;"00°39'4""E";"10°32'1""";49,35;1,4
1021;KOUNTOIRE;"00°33'3""E";"10°08'5""";61,63;0,9
1022;KAMPOAT;"00°21'1""E";"10°35'2""";104,13;0,81
1023;FIENGA;"00°39'5""E";"10°02'2""";67,25;16,2
1024;BALITIGOU;"00°12'3""E";"10°30'4""";55,27;3,41
1025;KARBONGOU;"00°32'2""E";"09°58'5""";55,3;7,2
1026;KPEGUINI;"00°40'3""E";"10°19'2""";73,6;0,617
1027;LENIDO;"00°35'4""E";"09°56'5""";54,88;7,2
1028;NASSONGUE;"00°14'5""E";"10°34'4""";71,5;4
1029;NAGBENI CENTRE;"00°23'5""E";"10°36'5""";46,1;5,14
1030;NAGBENI CENTRE;"00°24'4""E";"10°37'2""";46,1;2,8
1031;KPEBONGA;"00°21'4""E";"10°40'3""";70;0,9
1032;MAGNA;"00°26'0""E";"10°21'2""";91,86;0,8
1033;DJE-BOURI;"00°42'1""E";"10°21'2""";49,52;8
1034;BONI;"00°38'2""E";"10°17'1""";52,67;8
1035;SAMTI;"00°36'0""E";"10°02'3""";61,36;1,1
1036;SAKOU;"00°47'3""E";"10°20'5""";49,12;1,6
1037;TCHANKPE-BOSSOU;"00°37'0""E";"10°02'2""";61,36;2,4
1038;LOKO;"00°14'2""E";"10°35'1""";79,55;0,8
1039;NASSONGUE;"00°14'5""E";"10°34'4""";49,52;8,1
1040;KOUWAKOU I;"00°21'3""E";"10°31'1""";49,16;9
1041;TADERI;"00°26'2""E";"10°10'4""";73,65;1,6
1042;BOGHARI;"00°40'4""E";"10°16'2""";85,81;1,038
1043;MAYEFOUKOU;"00°21'4""E";"10°12'4""";53,3;1,25
1044;NASSIKA;"00°43'4""E";"10°21'4""";45,86;5,85
1045;LANLALE;"00°45'5""E";"10°23'3""";42,85;2,5
1046;SIKPANLE;"00°40'4""E";"10°19'5""";54,86;6,6
1047;NAKPATI;"00°49'1""E";"10°19'4""";51,83;5,5
1048;KADJITIERI  II;"00°23'3""E";"10°35'1""";99,75;5
1049;GALANGASHIE FOMBORO;"00°21'0""E";"10°30'2""";78;1
1050;NADJIR;"00°15'5""E";"10°34'5""";65;25
1051;BANDJA-TOMONGUE;"00°13'1""E";"10°32'0""";49,4;0,9
1052;NAGBENI CENTRE;"00°24'4""E";"10°37'1""";42;3,4
1053;TCHARBENGOU;"00°22'1""E";"10°36'2""";41;1,8
1054;TAMONGA;"00°22'5""E";"10°33'3""";74;2,2
1055;DANHAKA;"00°40'5""E";"10°26'3""";47,4;4,5
1056;PADORI;"00°25'3""E";"10°13'5""";48,8;1,8
1057;NANTIEGA;"00°39'4""E";"10°26'5""";48,6;5,14
1058;NAKITONI;"00°40'5""E";"10°26'3""";66,6;2,325
1059;SANTIGOU;"00°22'5""E";"10°28'3""";46,35;4
1060;WAMONE;"00°28'5""E";"10°38'1""";56,18;0,8
1061;NAGBATI;"00°28'0""E";"10°25'2""";85,74;0,805
1062;KANKANGOU;"00°21'5""E";"10°39'5""";73,55;0,814
1063;N'GAMBI;"00°47'2""E";"10°11'5""";;14,8
1064;KPAGNOH;"00°28'4""E";"10°34'1""";;
1065;KPAGNOH;"00°28'3""E";"10°34'2""";;7
1066;GNIBOUTIGOU;"00°29'3""E";"10°37'5""";;0,8
1067;DOGBOGUE;"00°20'2""E";"10°39'1""";;
1068;TCHARBENGOU;"00°22'1""E";"10°36'4""";120,1;16,85
1069;SISSIAK CENTRE;"00°07'5""E";"10°45'0""";61,1;3,2
1070;MONNE;"00°07'1""E";"10°43'2""";28;10,28
1071;DORE;"00°05'5""E";"10°43'1""";55;1,6
1072;NANDOBIK;"00°15'2""E";"10°36'3""";;
1073;BOPAK;"00°07'5""E";"10°41'2""";41;1,8
1074;NAKPABAK;"00°05'3""E";"10°45'2""";59,1;3,4
1075;BAKPANG-SOUKA;"00°05'2""E";"10°46'0""";;
1076;NADA DORE;"00°08'1""E";"10°45'3""";31,23;1,1
1077;MYR;"00°04'1""E";"10°47'4""";39;3
1078;DJAMONI;"00°06'0""E";"10°41'3""";98,7;6,5
1079;KPINKPARBAGOU;"00°02'0""W";"10°46'0""";32,6;22
1080;NASSIAGOU;"00°07'3""E";"10°42'3""";53,1;4
1081;BAKOSSE;"00°03'3""E";"10°39'5""";39;3,5
1082;LIEK;"00°02'0""E";"10°38'1""";;
1083;LOKPANO CENTRE;"00°06'2""E";"10°36'3""";39;2,5
1084;YEMBOUR;"00°08'2""E";"10°32'2""";39;2
1085;BALALONGUE;"00°08'1""E";"10°32'4""";51;3
1086;BOUMPOLE;"00°08'1""E";"10°32'1""";45;13
1087;KOUNDOUNGOU I;"00°08'5""E";"10°31'3""";45;3
1088;TAMONGUE;"00°10'1""E";"10°35'3""";27,2;1,6
1089;KPAMBOULK;"00°05'2""E";"10°41'4""";75;12
1090;MALABATE;"00°04'4""E";"10°41'2""";89;8,5
1091;GBANKONE;"00°02'3""E";"10°36'1""";41;6
1092;TAMPAKLOUK;"00°12'2""E";"10°34'0""";62;0,8
1093;LOKO CENTRE;"00°14'3""E";"10°35'4""";29;3
1094;TAMPIALIME CENTRE;"00°00'2""W";"10°44'0""";0;6
1095;TAMPIALIME CENTRE;"00°00'4""W";"10°44'5""";44;3
1096;TAMPIALIME CENTRE;"00°00'1""W";"10°44'5""";49,5;0,8
1097;KPINKPARBAGOU;"00°02'0""W";"10°45'3""";35;5
1098;NANLOURGOU;"00°12'5""E";"10°41'0""";32,9;1,6
1099;PLIGOU CENTRE;"00°16'1""E";"10°39'1""";39,2;1,6
1100;MOAK;"00°04'1""E";"10°43'2""";38;10
1101;MIR-KOUNKOUARE;"00°04'2""E";"10°46'2""";;
1102;KOUNKOGOU;"00°05'5""E";"10°42'1""";54,9;1,2
1103;DJABDAWOUR;"00°00'4""W";"10°44'4""";44;8
1104;NAYERGOU HAUT;"00°09'3""E";"10°30'5""";41;9
1105;TIGOU;"00°15'0""E";"10°36'2""";65;0,9
1106;KOUBENGOU;"00°17'4""E";"10°36'4""";;
1107;GANGANA-KONKOGOU;"00°12'4""E";"10°40'1""";29;0,6
1108;KONKONLONE;"00°17'0""E";"10°39'2""";31;7,2
1109;MANDIARE;"00°16'3""E";"10°39'0""";59,5;1,02
1110;NASSIEGOU;"00°18'0""E";"10°35'2""";;1,028
1111;TAMBINGUE;"00°10'5""E";"10°33'5""";41;5
1112;NANLOURGOU;"00°12'5""E";"10°41'0""";48;1,71
1113;BOUGOU;"00°17'4""E";"10°37'0""";;
1114;SOUNGOU;"00°14'1""E";"10°40'3""";66;0,8
1115;MOUMOANE;"00°14'0""E";"10°39'5""";63,49;0,802
1116;NANDODANI;"00°19'5""E";"10°40'1""";70;0,31
1117;KOLK I;"00°18'4""E";"10°38'0""";49;8,03
1118;NANDOBIK;"00°15'0""E";"10°37'0""";42,5;1,7
1119;NOKBAK;"00°10'5""E";"10°38'5""";;
1120;DJAPAK MAMPROUSSI;"00°06'5""E";"10°40'2""";43,1;1,06
1121;LOANKPONGOU;"00°10'1""E";"10°38'1""";;
1122;BOUAK-CENTRE;"00°15'3""E";"10°37'5""";70;3,6
1123;MOUMOANE-CENTRE;"00°13'5""E";"10°39'0""";60;0,9
1124;BONKOUNGOU;"00°09'4""E";"10°31'5""";;
1125;KOUNDOUNGOU I;"00°08'4""E";"10°31'5""";61,69;3,2
1126;LAMPOGONGUE;"00°10'2""E";"10°34'3""";;
1127;NAYERGOU BAS;"00°09'5""E";"10°30'1""";47,25;0,8
1128;TOLONGUE;"00°08'5""E";"10°31'0""";51,58;
1129;NANDODANI;"00°12'0""E";"10°40'0""";;
1130;BOULOGOU CENTRE;"00°17'3""E";"10°37'5""";;
1131;DJAPAK;"00°06'2""E";"10°40'3""";60;0,5
1132;YEMBOUR;"00°08'4""E";"10°32'3""";36,82;1
1133;BOGOU CENTRE;"00°10'2""E";"10°39'2""";;
1134;LARSIOK;"00°01'2""E";"10°38'1""";;
1135;YOAK;"00°12'2""E";"10°34'2""";61,3;5
1136;KPEKDJOK;"00°06'1""E";"10°37'5""";;
1137;NAGOU;"00°08'0""E";"10°39'2""";60;0,8
1138;TAMONGUE;"00°10'4""E";"10°35'5""";67,31;1,2
1139;NABAME;"00°14'0""E";"10°36'3""";61;0,7
1140;NATIGOU;"00°13'2""E";"10°37'2""";36,7;3,5
1141;TAMPAKLOUK;"00°13'1""E";"10°36'4""";36,8;3
1142;TOLONG;"00°00'5""W";"10°40'1""";;
1143;BORE;"00°07'3""E";"10°39'1""";37,15;1,565
1144;MOUMOANE-CENTRE;"00°13'5""E";"10°38'4""";;
1145;GBADAGOU;"00°03'0""E";"10°36'0""";;
1146;KOUNKOARE;"00°12'1""E";"10°44'4""";74;8,5
1147;NANNAGUE;"00°10'4""E";"10°43'4""";100;12
1148;BOMBOUAKA;"00°12'2""E";"10°42'2""";55,5;0,9
1149;SAMBOUNE;"00°11'3""E";"10°41'4""";60;1,5
1150;SOUNGOU;"00°13'4""E";"10°41'2""";60;1,6
1151;SOUNGOU;"00°13'2""E";"10°41'5""";60,5;1,6
1152;DIMANGOU;"00°10'1""E";"10°37'1""";;
1153;SANGOU;"00°03'4""E";"10°36'0""";;
1154;NAGOUNI CENTRE;"00°12'3""E";"10°25'4""";44,43;
1155;DOTIK;"00°06'4""E";"10°35'5""";;
1156;BOUAK-CENTRE;"00°15'3""E";"10°36'4""";40,63;
1157;MANDAGOU;"00°11'3""E";"10°42'4""";;
1158;NANSONG;"00°10'0""E";"10°35'1""";;
1159;BATINGUE;"00°10'3""E";"10°35'5""";74,4;0,5
1160;LOKPEROUK;"00°08'1""E";"10°38'0""";34,17;2,4
1161;NAKPANKORGOU II;"00°12'2""E";"10°33'3""";;
1162;DOUKPERGOU;"00°05'2""E";"10°40'1""";;
1163;YOAK;"00°12'3""E";"10°34'1""";;
1164;TOGORGOU;"00°11'5""E";"10°36'1""";60,5;1,7
1165;PLIGOU  II;"00°15'0""E";"10°41'2""";61,49;2
1166;TAMBANGOU;"00°11'2""E";"10°44'0""";;
1167;DJALOGUE;"00°13'0""E";"10°42'5""";;
1168;MOUMOANE-CENTRE;"00°14'3""E";"10°38'0""";;
1169;NAOK;"00°08'2""E";"10°36'4""";;
1170;TOLONGUE;"00°09'2""E";"10°31'0""";60;1,5
1171;YEMBOUR;"00°08'3""E";"10°32'1""";;
1172;TAMON-DJAPAK;"00°07'5""E";"10°35'1""";;
1173;BROUK;"00°07'2""E";"10°34'5""";;
1174;KOUKOMONI;"00°07'4""E";"10°34'2""";;
1175;NAKPAGLI;"00°08'1""E";"10°34'2""";60;1,2
1176;MARGOU;"00°12'3""E";"10°40'5""";47,27;6
1177;TAMBANGOU;"00°11'0""E";"10°43'5""";;
1178;LOKO CENTRE;"00°14'1""E";"10°35'5""";;
1179;NASSAK;"00°17'5""E";"10°39'2""";45;1,3
1180;KPEDJAK;"00°17'2""E";"10°40'1""";58;0,8
1181;TANNABE;"00°17'0""E";"10°37'3""";58,55;1,05
1182;KPINKPARPAK;"00°02'2""W";"10°45'3""";49,8;7
1183;LOKO CENTRE;"00°14'1""E";"10°35'3""";;
1184;LOKPANO CENTRE;"00°06'2""E";"10°36'3""";;
1185;DOKLE;"00°09'2""E";"10°39'0""";;
1186;BORE;"00°07'3""E";"10°39'2""";;
1187;TAMPIALIME CENTRE;"00°00'4""E";"10°45'0""";53,75;0,7
1188;NANDOGA CENTRE;"00°12'3""E";"10°40'1""";85,45;0,7
1189;BOUGOU;"00°17'5""E";"10°37'2""";49,45;0,99
1190;TAMPIALIME CENTRE;"00°00'1""W";"10°45'0""";76,35;0
1191;KOUNKOARE;"00°12'4""E";"10°44'3""";;
1192;NANDOGA CENTRE;"00°12'0""E";"10°40'1""";;
1193;BOGOU CENTRE;"00°10'2""E";"10°39'1""";;
1194;NANO CENTRE;"00°06'3""E";"10°42'0""";;
1195;NANO HAUT;"00°06'0""E";"10°41'5""";;
1196;DJAPAK;"00°11'5""E";"10°39'1""";;
1197;MOUMOANE-CENTRE;"00°14'5""E";"10°38'1""";;
1198;KOUKOMONI;"00°08'5""E";"10°37'0""";;
1199;MOUMOANE-CENTRE;"00°14'3""E";"10°38'5""";;
1200;NANDODANI;"00°11'5""E";"10°39'5""";;
1201;GOUNDOGA;"00°09'0""E";"10°42'0""";;
1202;KOUDJAGOUGOUNE;"00°11'5""E";"10°31'5""";;
1203;TAMONGUE;"00°11'1""E";"10°34'1""";;
1204;NADONGOU;"00°03'2""E";"10°35'2""";;
1205;DJAMONI;"00°06'0""E";"10°41'3""";;
1206;GOUNDOGA;"00°09'1""E";"10°41'0""";;
1207;TOMONI;"00°02'5""E";"10°35'2""";65,3;0,44
1208;TOMONI;"00°03'1""E";"10°36'0""";;
1209;NANKPANGORGOU;"00°12'4""E";"10°33'0""";;
1210;PIABRIBAGOU;"00°07'1""E";"10°47'2""";;
1211;NADAGOU;"00°07'4""E";"10°46'5""";;
1212;DORE;"00°06'0""E";"10°43'1""";;
1213;NANDODANI;"00°11'5""E";"10°39'5""";49,45;
1214;NANDODANI;"00°11'4""E";"10°39'5""";56,05;
1215;NANDOGA CENTRE;"00°12'2""E";"10°40'2""";72,35;5,14
1216;BOMBOUAKA;"00°12'3""E";"10°41'5""";62,79;1,5
1217;BOUAK-CENTRE;"00°15'3""E";"10°37'4""";112,31;0
1218;DJABIR;"00°09'4""E";"10°39'4""";112,27;0
1219;SOUNSSOURI;"00°09'2""E";"10°44'2""";74,24;1,64
1220;KONKOGOU;"00°14'0""E";"10°41'4""";112,28;0,72
1221;TINGBANDONGOU;"00°13'2""E";"10°42'5""";125,78;0
1222;SOUNGOU;"00°13'1""E";"10°41'1""";44,88;3
1223;DJARINGUE;"00°02'0""E";"10°37'1""";49,32;7,2
1224;BAKPANG;"00°05'1""E";"10°46'0""";71,97;1,028
1225;MORBAGUE+KPONG;"00°06'0""E";"10°44'1""";71,84;6,17
1226;PIABRIBAGOU;"00°05'0""E";"10°47'4""";99,84;0
1227;GOUNDOGA;"00°09'2""E";"10°41'1""";125,92;0
1228;SIGUIBAGOU;"00°06'3""E";"10°38'1""";63,09;1,6
1229;NOKDONG;"00°02'2""E";"10°39'4""";103,6;0
1230;TAMONGUE;"00°10'4""E";"10°35'2""";143,94;0,715
1231;TOMONGUE;"00°13'0""E";"10°32'2""";116,99;2,058
1232;GBAMPAK;"00°09'0""E";"10°29'5""";89,9;21,6
1233;DJABIR;"00°09'3""E";"10°39'4""";162;21,6
1234;GOUNDOGA;"00°09'2""E";"10°41'1""";170,92;
1235;PAOG;"00°04'5""E";"10°34'0""";55,64;0,718
1236;BOUAK-CENTRE;"00°15'3""E";"10°37'4""";157,31;0
1237;PIABRIBAGOU;"00°06'5""E";"10°47'4""";48,55;18
1238;TINGBANDONGOU;"00°13'2""E";"10°42'5""";109,7;0
1239;GOUNDOGA;"00°09'2""E";"10°41'1""";157,39;0
1240;MATOUGOU;"00°02'5""E";"10°37'5""";110;0
1241;TAMBINGUE;"00°10'3""E";"10°34'0""";60,85;0,83
1242;NAKPABAK;"00°05'4""E";"10°45'3""";54,77;1,167
1243;TIGOU;"00°15'1""E";"10°36'1""";109,6;0
1244;BOUAK-CENTRE;"00°15'3""E";"10°37'4""";139,49;0
